Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_2_1,Area,Weight,is_pareto
stencil3d_1253.c,xczu7ev-ffvc1156-2-e,5.0,0.30002,47,1,1,1,3,unroll_8,pipeline,pipeline,unroll_2,unroll,pipeline_1,pipeline,unroll_2,unroll_2,1.5,0.34781764794465403,False
stencil3d_1254.c,xczu7ev-ffvc1156-2-e,5.0,0.147155,49,1,9,1,6,pipeline,pipeline,pipeline,unroll_2,pipeline,pipeline_1,unroll_8,unroll_2,unroll,4.25,0.9528830493537537,False
stencil3d_1255.c,xczu7ev-ffvc1156-2-e,5.0,0.17258,39,1,2,1,3,pipeline,pipeline,pipeline,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,1.75,0.8188250699945253,False
stencil3d_1256.c,xczu7ev-ffvc1156-2-e,5.0,0.300155,37,1,1,1,2,pipeline_1,pipeline,pipeline,unroll_2,pipeline_1,unroll,pipeline_1,unroll_2,unroll_2,1.25,0.34735921486226295,False
stencil3d_1257.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,84,1,1,1,8,pipeline,pipeline,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1258.c,xczu7ev-ffvc1156-2-e,5.0,0.289495,34,1,1,1,1,pipeline_1,pipeline,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline,unroll_2,pipeline_1,1.0,1.0,True
stencil3d_1259.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,85,1,1,1,8,pipeline_1,pipeline,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1260.c,xczu7ev-ffvc1156-2-e,5.0,0.2995,86,1,1,1,8,unroll_8,pipeline,pipeline_1,unroll_2,pipeline_1,unroll,pipeline_1,unroll,unroll_2,2.75,0.34268310532541457,False
stencil3d_1261.c,xczu7ev-ffvc1156-2-e,5.0,0.147155,50,1,9,1,6,pipeline_1,pipeline_1,pipeline,unroll_2,unroll,unroll_4,pipeline_1,unroll_2,unroll,4.25,0.9528830493537537,False
stencil3d_1262.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,60,1,11,1,11,pipeline_1,pipeline,pipeline_1,unroll_8,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline_1,6.0,0.9762316409867607,False
stencil3d_1263.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,85,1,1,1,8,pipeline,pipeline,pipeline,unroll_2,pipeline_1,unroll_8,unroll_8,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1264.c,xczu7ev-ffvc1156-2-e,5.0,0.300155,35,1,1,1,2,pipeline_1,pipeline,pipeline,unroll_2,pipeline,pipeline_1,unroll_4,unroll_2,unroll_2,1.25,0.34735921486226295,False
stencil3d_1265.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,61,1,9,1,10,pipeline_1,pipeline,pipeline,unroll_8,pipeline,unroll_8,unroll_4,pipeline_1,unroll,5.25,0.9969725268441938,False
stencil3d_1266.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,250,1,37,3,28,pipeline,pipeline,unroll_8,pipeline,pipeline,unroll_8,pipeline_1,unroll,unroll_2,17.25,0.6659984697253817,False
stencil3d_1267.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,48,1,4,1,5,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_4,unroll,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1268.c,xczu7ev-ffvc1156-2-e,5.0,0.300155,34,1,1,1,2,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline,unroll_4,unroll_4,unroll_2,unroll_2,1.25,0.34735921486226295,False
stencil3d_1269.c,xczu7ev-ffvc1156-2-e,5.0,0.298915,97,1,1,1,9,pipeline,pipeline,unroll_8,unroll_2,pipeline_1,unroll_8,unroll_8,unroll,unroll_2,3.0,0.3427395594026511,False
stencil3d_1270.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,39,1,2,1,3,pipeline,pipeline,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1.75,1.0,True
stencil3d_1271.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,83,1,1,1,8,pipeline,pipeline_1,pipeline,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1272.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,85,1,1,1,8,pipeline_1,pipeline,pipeline_1,unroll_2,pipeline,unroll_8,pipeline_1,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1273.c,xczu7ev-ffvc1156-2-e,5.0,0.300155,36,1,1,1,2,pipeline_1,pipeline,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1.25,0.34735921486226295,False
stencil3d_1274.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,314,1,33,3,26,pipeline_1,pipeline,unroll_8,pipeline,pipeline,unroll,pipeline,unroll_2,unroll_2,15.75,0.6976548767149497,False
stencil3d_1275.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,57,1,9,1,10,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll,5.25,0.9969725268441938,False
stencil3d_1276.c,xczu7ev-ffvc1156-2-e,5.0,0.111485,363,1,45,4,35,pipeline_1,unroll,unroll_4,pipeline,pipeline,unroll,pipeline_1,pipeline_1,unroll_2,21.25,0.5819146308577237,False
stencil3d_1277.c,xczu7ev-ffvc1156-2-e,5.0,0.11124,300,1,20,2,22,pipeline,pipeline,pipeline_1,pipeline,pipeline,unroll_2,pipeline_1,pipeline_1,unroll,11.25,0.7898796530901789,False
stencil3d_1278.c,xczu7ev-ffvc1156-2-e,5.0,0.3178,384,1,1,4,17,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll,unroll_2,5.75,0.24493149686901464,False
stencil3d_1279.c,xczu7ev-ffvc1156-2-e,5.0,0.11124,283,1,20,2,22,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline_1,pipeline_1,pipeline_1,unroll,11.25,0.7898796530901789,False
stencil3d_1280.c,xczu7ev-ffvc1156-2-e,5.0,0.1467,522,1,10,3,29,pipeline_1,pipeline,unroll_8,unroll,unroll_4,unroll_8,pipeline,unroll_2,unroll,10.75,0.7432118044382169,False
stencil3d_1282.c,xczu7ev-ffvc1156-2-e,5.0,0.302565,32,1,1,1,2,unroll_4,pipeline,unroll_2,unroll_2,pipeline_1,pipeline,unroll_8,unroll_2,unroll_2,1.25,0.33510807446850643,False
stencil3d_1283.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,35,1,2,1,3,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll,1.75,1.0,True
stencil3d_1284.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,35,1,2,1,3,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll,1.75,1.0,True
stencil3d_1285.c,xczu7ev-ffvc1156-2-e,5.0,0.17426,38,1,2,1,4,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll,unroll_4,pipeline_1,unroll_2,2.0,0.8090330719625327,False
stencil3d_1286.c,xczu7ev-ffvc1156-2-e,5.0,0.161735,45,1,4,1,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline,unroll_2,unroll_4,pipeline_1,unroll,3.0,0.8710644248919428,False
stencil3d_1287.c,xczu7ev-ffvc1156-2-e,5.0,0.161855,54,1,15,1,12,pipeline_1,pipeline,unroll_8,unroll_2,unroll_4,unroll_8,pipeline_1,unroll_4,unroll,7.25,0.7796083800720987,False
stencil3d_1288.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,54,1,9,1,10,pipeline_1,pipeline,pipeline_1,unroll_8,unroll,unroll_2,pipeline_1,pipeline_1,unroll,5.25,0.9969725268441938,False
stencil3d_1289.c,xczu7ev-ffvc1156-2-e,5.0,0.141735,61,1,9,1,10,pipeline,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll,5.25,0.9834720577326974,False
stencil3d_1290.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,48,1,4,1,5,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll,unroll_2,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1291.c,xczu7ev-ffvc1156-2-e,5.0,0.17258,39,1,2,1,3,pipeline_1,pipeline,pipeline,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,1.75,0.8188250699945253,False
stencil3d_1292.c,xczu7ev-ffvc1156-2-e,5.0,0.155915,58,1,9,1,8,pipeline_1,pipeline,unroll_8,unroll_4,unroll_4,unroll,pipeline_1,unroll_2,unroll,4.75,0.8867035826502158,False
stencil3d_1293.c,xczu7ev-ffvc1156-2-e,5.0,0.288665,147,1,20,4,19,pipeline_1,unroll,pipeline_1,unroll_2,pipeline_1,unroll,pipeline_1,unroll,pipeline_1,11.0,0.2616004965203843,False
stencil3d_1294.c,xczu7ev-ffvc1156-2-e,5.0,0.288755,140,1,1,1,11,pipeline,pipeline,pipeline,unroll_2,pipeline,pipeline_1,pipeline,unroll,unroll_4,3.5,0.37238543251402634,False
stencil3d_1295.c,xczu7ev-ffvc1156-2-e,5.0,0.14678,52,1,9,1,6,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll,unroll_4,pipeline_1,unroll_2,unroll,4.25,1.0,True
stencil3d_1296.c,xczu7ev-ffvc1156-2-e,5.0,0.31722,144,1,1,2,11,pipeline_1,pipeline,pipeline,unroll_4,pipeline_1,unroll,unroll_4,unroll,unroll_2,3.75,0.2609876322263382,False
stencil3d_1297.c,xczu7ev-ffvc1156-2-e,5.0,0.13968,63,1,9,1,10,pipeline,pipeline,unroll_8,unroll_8,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll,5.25,1.0,True
stencil3d_1298.c,xczu7ev-ffvc1156-2-e,5.0,0.17258,42,1,2,1,3,pipeline,pipeline,pipeline_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll,1.75,0.8188250699945253,False
stencil3d_1299.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,63,1,11,1,11,pipeline_1,pipeline,pipeline_1,unroll_8,pipeline,unroll,pipeline_1,pipeline_1,unroll_2,6.0,0.9762316409867607,False
stencil3d_1300.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,84,1,1,1,8,pipeline,pipeline_1,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1301.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,35,1,2,1,3,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1.75,1.0,True
stencil3d_1302.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,38,1,2,1,3,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1.75,1.0,True
stencil3d_1303.c,xczu7ev-ffvc1156-2-e,5.0,0.17258,36,1,2,1,3,pipeline_1,pipeline_1,pipeline,unroll_2,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll_2,1.75,0.8188250699945253,False
stencil3d_1304.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,52,1,11,1,11,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,6.0,0.9762316409867607,False
stencil3d_1305.c,xczu7ev-ffvc1156-2-e,5.0,0.29978,31,1,1,1,2,pipeline,pipeline,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1.25,0.3492913828074721,False
stencil3d_1306.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,314,1,45,4,30,pipeline,pipeline,unroll_8,pipeline,pipeline,unroll_8,pipeline_1,pipeline_1,unroll_2,20.0,0.6088645804577699,False
stencil3d_1307.c,xczu7ev-ffvc1156-2-e,5.0,0.319115,36,1,1,1,2,pipeline_1,pipeline,unroll_8,unroll_4,pipeline_1,unroll,pipeline_1,unroll_2,unroll_2,1.25,0.25918244520546596,False
stencil3d_1308.c,xczu7ev-ffvc1156-2-e,5.0,0.174915,36,1,2,1,3,unroll_4,pipeline,unroll_2,unroll_2,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_4,1.75,0.8096953541996752,False
stencil3d_1309.c,xczu7ev-ffvc1156-2-e,5.0,0.11144,324,1,19,2,22,pipeline_1,unroll,unroll_8,pipeline,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,11.0,0.7943988207981483,False
stencil3d_1310.c,xczu7ev-ffvc1156-2-e,5.0,0.140055,61,1,9,1,10,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline_1,unroll,unroll_4,pipeline_1,unroll,5.25,0.9969725268441938,False
stencil3d_1311.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,41,1,4,1,5,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_4,unroll_8,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1312.c,xczu7ev-ffvc1156-2-e,5.0,0.3178,401,1,1,4,17,pipeline_1,pipeline,pipeline_1,unroll_8,pipeline,unroll_8,pipeline_1,unroll,unroll_2,5.75,0.24493149686901464,False
stencil3d_1313.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,84,1,1,1,8,pipeline_1,pipeline,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1314.c,xczu7ev-ffvc1156-2-e,5.0,0.31722,143,1,1,2,11,pipeline,pipeline,pipeline,unroll_4,pipeline_1,unroll_2,unroll_4,unroll,unroll_2,3.75,0.2609876322263382,False
stencil3d_1315.c,xczu7ev-ffvc1156-2-e,5.0,0.14678,51,1,9,1,6,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll,pipeline_1,unroll_2,unroll,4.25,1.0,True
stencil3d_1316.c,xczu7ev-ffvc1156-2-e,5.0,0.111005,485,1,74,8,45,pipeline_1,pipeline,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_4,unroll,unroll,32.0,0.38821390737894756,False
stencil3d_1317.c,xczu7ev-ffvc1156-2-e,5.0,0.29738,86,1,1,1,7,pipeline,pipeline,unroll_8,unroll_2,pipeline,unroll,pipeline_1,unroll,unroll_2,2.5,0.3543445876418825,False
stencil3d_1318.c,xczu7ev-ffvc1156-2-e,5.0,0.111005,477,1,74,8,45,pipeline,pipeline,pipeline,unroll_2,pipeline_1,unroll_8,unroll_8,unroll,unroll,32.0,0.38821390737894756,False
stencil3d_1319.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,298,1,20,2,21,pipeline,pipeline_1,unroll_8,pipeline,pipeline,unroll_8,pipeline_1,pipeline_1,unroll,11.0,0.7952788316052087,False
stencil3d_1322.c,xczu7ev-ffvc1156-2-e,5.0,0.28853,34,1,1,1,2,pipeline,pipeline,unroll_8,unroll_2,unroll_4,unroll_8,pipeline_1,unroll_2,pipeline_1,1.25,0.4049298019298,False
stencil3d_1323.c,xczu7ev-ffvc1156-2-e,5.0,0.173245,34,1,2,1,3,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,1.75,0.8162353452884062,False
stencil3d_1324.c,xczu7ev-ffvc1156-2-e,5.0,0.17317,37,1,2,1,3,pipeline_1,pipeline,unroll_2,unroll_2,unroll_4,unroll_8,pipeline_1,pipeline_1,unroll,1.75,0.8165278613769681,False
stencil3d_1325.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,40,1,2,1,3,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll,pipeline_1,pipeline_1,unroll,1.75,1.0,True
stencil3d_1326.c,xczu7ev-ffvc1156-2-e,5.0,0.163415,40,1,4,1,6,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_4,unroll,unroll_4,pipeline_1,unroll,3.0,0.8606986208775412,False
stencil3d_1327.c,xczu7ev-ffvc1156-2-e,5.0,0.172785,43,1,2,1,5,pipeline_1,unroll,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,2.25,0.8119247119389653,False
stencil3d_1328.c,xczu7ev-ffvc1156-2-e,5.0,0.29738,73,1,1,1,7,pipeline,pipeline_1,unroll_8,unroll_2,unroll_2,unroll,pipeline_1,unroll,unroll_2,2.5,0.3543445876418825,False
stencil3d_1329.c,xczu7ev-ffvc1156-2-e,5.0,0.17258,36,1,2,1,3,pipeline_1,pipeline,pipeline,unroll_2,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_2,1.75,0.8188250699945253,False
stencil3d_1330.c,xczu7ev-ffvc1156-2-e,5.0,0.17258,40,1,2,1,3,pipeline_1,pipeline,pipeline,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll,1.75,0.8188250699945253,False
stencil3d_1331.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,46,1,4,1,5,pipeline_1,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1332.c,xczu7ev-ffvc1156-2-e,5.0,0.15629,58,1,10,1,9,pipeline_1,pipeline,pipeline_1,unroll_4,pipeline,unroll_2,pipeline_1,unroll_2,unroll,5.25,0.8738119109725013,False
stencil3d_1333.c,xczu7ev-ffvc1156-2-e,5.0,0.319115,37,1,1,1,2,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_4,pipeline_1,pipeline,unroll_2,unroll_2,1.25,0.25918244520546596,False
stencil3d_1334.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,47,1,5,1,6,pipeline,pipeline_1,unroll_8,unroll_4,pipeline,unroll,pipeline_1,pipeline_1,unroll_2,3.25,0.8709910773547271,False
stencil3d_1335.c,xczu7ev-ffvc1156-2-e,5.0,0.29738,87,1,1,1,7,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline,unroll,pipeline_1,unroll,unroll_2,2.5,0.3543445876418825,False
stencil3d_1336.c,xczu7ev-ffvc1156-2-e,5.0,0.297755,84,1,1,1,8,pipeline_1,pipeline,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll,unroll_2,2.75,0.3502148587943148,False
stencil3d_1337.c,xczu7ev-ffvc1156-2-e,5.0,0.155915,58,1,9,1,8,pipeline,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll,4.75,0.8867035826502158,False
stencil3d_1338.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,42,1,2,1,3,pipeline_1,pipeline,unroll_8,unroll_2,pipeline,unroll_2,pipeline_1,pipeline_1,unroll,1.75,1.0,True
stencil3d_1339.c,xczu7ev-ffvc1156-2-e,5.0,0.148525,45,1,9,1,6,unroll_4,pipeline,unroll_8,unroll_2,pipeline_1,pipeline,pipeline_1,unroll_2,unroll,4.25,0.944143098358036,False
stencil3d_1340.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,41,1,2,1,3,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll,unroll_4,pipeline_1,pipeline_1,pipeline_1,1.75,1.0,True
stencil3d_1341.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,249,1,19,2,20,pipeline,pipeline_1,unroll_8,pipeline,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll,10.5,1.0,True
stencil3d_1342.c,xczu7ev-ffvc1156-2-e,5.0,0.13968,63,1,9,1,10,pipeline,pipeline,unroll_8,unroll_8,unroll,unroll_2,pipeline_1,pipeline_1,unroll,5.25,1.0,True
stencil3d_1343.c,xczu7ev-ffvc1156-2-e,5.0,0.14678,49,1,9,1,6,pipeline_1,pipeline,unroll_8,unroll_2,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,4.25,1.0,True
stencil3d_1344.c,xczu7ev-ffvc1156-2-e,5.0,0.28597,33,1,1,1,2,unroll_4,pipeline,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_4,1.25,0.4136415784530799,False
stencil3d_1345.c,xczu7ev-ffvc1156-2-e,5.0,0.141735,61,1,11,1,11,pipeline_1,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,6.0,0.96587323782517,False
stencil3d_1346.c,xczu7ev-ffvc1156-2-e,5.0,0.161735,45,1,4,1,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline,unroll_2,pipeline_1,pipeline_1,unroll,3.0,0.8710644248919428,False
stencil3d_1347.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,313,1,33,3,26,pipeline,pipeline,unroll_8,pipeline,pipeline_1,unroll,pipeline,unroll_2,unroll_2,15.75,0.6976548767149497,False
stencil3d_1348.c,xczu7ev-ffvc1156-2-e,5.0,0.15688,55,1,9,1,8,pipeline_1,pipeline,unroll_2,unroll_4,unroll_4,unroll,pipeline,unroll_2,unroll,4.75,0.8800304180106445,False
stencil3d_1349.c,xczu7ev-ffvc1156-2-e,5.0,0.110845,366,1,45,4,35,pipeline_1,unroll,unroll_8,pipeline,unroll_2,unroll,pipeline_1,pipeline_1,unroll_2,21.25,0.5835521409964367,False
stencil3d_1350.c,xczu7ev-ffvc1156-2-e,5.0,0.29978,36,1,1,1,2,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll_2,1.25,0.3492913828074721,False
stencil3d_1351.c,xczu7ev-ffvc1156-2-e,5.0,0.161735,46,1,5,1,6,pipeline,pipeline,pipeline,unroll_4,pipeline,pipeline_1,unroll_8,pipeline_1,unroll_2,3.25,0.8685944490401935,False
stencil3d_1352.c,xczu7ev-ffvc1156-2-e,5.0,0.290585,38,1,1,1,2,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,1.25,0.3974845784703107,False
stencil3d_1353.c,xczu7ev-ffvc1156-2-e,5.0,0.283525,35,1,1,1,2,unroll_4,pipeline,unroll_8,unroll_2,pipeline_1,pipeline,pipeline_1,unroll_2,unroll_4,1.25,0.4220735805864253,False
stencil3d_1354.c,xczu7ev-ffvc1156-2-e,5.0,0.112965,320,1,19,2,22,unroll,pipeline,unroll_2,pipeline,pipeline,pipeline_1,pipeline,unroll_2,unroll,11.0,0.7919935055728782,False
stencil3d_1355.c,xczu7ev-ffvc1156-2-e,5.0,0.14221,100,1,9,2,16,pipeline_1,unroll,unroll_8,unroll_8,pipeline,unroll_8,pipeline_1,pipeline_1,unroll,7.0,0.9301630408882391,False
stencil3d_1356.c,xczu7ev-ffvc1156-2-e,5.0,0.32085,449,1,1,5,22,pipeline_1,pipeline,unroll_8,unroll,unroll_4,unroll_8,pipeline,unroll_4,unroll_4,7.25,0.2224331282413814,False
stencil3d_1357.c,xczu7ev-ffvc1156-2-e,5.0,0.110845,359,1,19,2,25,pipeline_1,unroll,unroll_8,pipeline,pipeline,unroll,pipeline_1,unroll_2,unroll,11.75,1.0,True
stencil3d_1358.c,xczu7ev-ffvc1156-2-e,5.0,0.11063,489,1,82,8,48,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,unroll,pipeline_1,unroll,unroll,34.75,0.33605221531502594,False
stencil3d_1359.c,xczu7ev-ffvc1156-2-e,5.0,0.11086,294,1,19,2,20,pipeline,pipeline,unroll_8,pipeline,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll,10.5,1.0,True
stencil3d_1360.c,xczu7ev-ffvc1156-2-e,5.0,0.111005,459,1,74,8,45,pipeline,pipeline,pipeline,unroll_2,pipeline,pipeline_1,pipeline_1,unroll,unroll,32.0,0.38821390737894756,False
stencil3d_1361.c,xczu7ev-ffvc1156-2-e,5.0,0.11063,422,1,82,8,48,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_4,unroll,pipeline_1,unroll,unroll,34.75,0.33605221531502594,False
stencil3d_1362.c,xczu7ev-ffvc1156-2-e,5.0,0.289495,31,1,1,1,1,pipeline,pipeline,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline,unroll_2,pipeline_1,1.0,1.0,True
stencil3d_1363.c,xczu7ev-ffvc1156-2-e,5.0,0.28178,31,1,1,1,2,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,pipeline,pipeline_1,unroll_2,unroll_4,1.25,1.0,True
stencil3d_1364.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,34,1,2,1,3,pipeline,pipeline,unroll_8,unroll_2,pipeline_1,unroll,pipeline_1,pipeline_1,unroll_2,1.75,1.0,True
stencil3d_1365.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,43,1,4,1,5,pipeline_1,pipeline,unroll_8,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1366.c,xczu7ev-ffvc1156-2-e,5.0,0.155915,55,1,9,1,8,pipeline,pipeline,unroll_8,unroll_4,pipeline,unroll,pipeline_1,unroll_2,unroll,4.75,0.8867035826502158,False
stencil3d_1367.c,xczu7ev-ffvc1156-2-e,5.0,0.13968,58,1,9,1,10,pipeline_1,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll,5.25,1.0,True
stencil3d_1368.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,45,1,5,1,6,pipeline_1,pipeline,unroll_8,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,3.25,0.8709910773547271,False
stencil3d_1369.c,xczu7ev-ffvc1156-2-e,5.0,0.14678,45,1,9,1,6,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll,4.25,1.0,True
stencil3d_1370.c,xczu7ev-ffvc1156-2-e,5.0,0.14006,76,1,11,2,16,pipeline_1,pipeline,unroll_8,unroll_8,pipeline_1,unroll_8,unroll,pipeline_1,unroll_2,7.5,0.9137305628648149,False
stencil3d_1371.c,xczu7ev-ffvc1156-2-e,5.0,0.29738,83,1,1,1,7,pipeline,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_8,pipeline_1,unroll,unroll_2,2.5,0.3543445876418825,False
stencil3d_1372.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,46,1,4,1,5,pipeline,pipeline,unroll_8,unroll_4,unroll,pipeline_1,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1373.c,xczu7ev-ffvc1156-2-e,5.0,0.16136,44,1,4,1,5,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll,2.75,1.0,True
stencil3d_1374.c,xczu7ev-ffvc1156-2-e,5.0,0.172205,32,1,2,1,3,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1.75,1.0,True
stencil3d_1375.c,xczu7ev-ffvc1156-2-e,5.0,0.29978,33,1,1,1,2,pipeline_1,pipeline,unroll_8,unroll_2,unroll_4,unroll,pipeline_1,unroll_2,unroll_2,1.25,0.3492913828074721,False
