kernel,representation,path,nodes,edges,nonpragma_relation_types,actions,action_ids,control_edges,data_edges,call_edges,loop_hierarchy_edges,array_scope_edges,region_edges,memory_view_edges,memory_access_edges,loop_carried_edges,memory_dependence_edges,memory_uncertainty_edges,pragma_edges,compiler_dependence_queries,compiler_proven_dependences,compiler_unresolved_queries,compiler_view_edges,graph_bytes
rodinia_streamcluster_4_coalescing_0,MLIR,GNN_branch/MLIR_graphs/rodinia_streamcluster_4_coalescing_0.gexf,1039,4108,13,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,194,879,109,2,118,56,433,112,3,4,94,44,4,4,83,47,1443103
serrano-kalman-filter,HARP,GNN_branch/HARP_graphs/serrano-kalman-filter_processed_result.gexf,748,2763,7,13,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,321,780,34,6,88,0,0,0,0,0,0,40,0,0,0,0,691837
serrano-kalman-filter,MLIR,GNN_branch/MLIR_graphs/serrano-kalman-filter.gexf,511,1972,13,11,L1;L2;L3;L4;L5;L6;L9;L10;L11;L12;L13,112,449,35,6,32,30,146,82,6,11,21,36,11,11,39,26,708618
spcl_example_00,HARP,GNN_branch/HARP_graphs/spcl_example_00_processed_result.gexf,111,381,5,1,L1,48,107,2,0,0,0,0,0,0,0,0,4,0,0,0,0,95038
spcl_example_00,MLIR,GNN_branch/MLIR_graphs/spcl_example_00.gexf,42,146,8,1,L1,7,31,0,0,0,4,6,6,0,0,6,4,0,0,4,0,58784
spcl_example_01,HARP,GNN_branch/HARP_graphs/spcl_example_01_processed_result.gexf,145,502,5,1,L1,62,142,6,0,0,0,0,0,0,0,0,4,0,0,0,0,125632
spcl_example_01,MLIR,GNN_branch/MLIR_graphs/spcl_example_01.gexf,62,221,10,1,L1,10,46,3,0,0,6,6,12,6,0,8,4,0,0,6,0,87146
spcl_example_03,HARP,GNN_branch/HARP_graphs/spcl_example_03_processed_result.gexf,272,962,7,6,L1;L2;L3;L4;L5;L6,121,255,2,2,20,0,0,0,0,0,0,20,0,0,0,0,239753
spcl_example_03,MLIR,GNN_branch/MLIR_graphs/spcl_example_03.gexf,91,333,11,6,L1;L2;L3;L4;L5;L6,18,63,0,2,12,10,2,16,0,2,8,20,2,2,6,0,126555
spcl_example_05,HARP,GNN_branch/HARP_graphs/spcl_example_05_processed_result.gexf,248,870,7,5,L1;L2;L3;L4;L5,111,225,2,6,14,0,0,0,0,0,0,18,0,0,0,0,215742
spcl_example_05,MLIR,GNN_branch/MLIR_graphs/spcl_example_05.gexf,84,311,11,5,L1;L2;L3;L4;L5,15,55,0,6,8,14,6,12,0,5,6,18,5,5,4,0,120461
